saison,journee,nom_club,position,nb_points,nb_matchs,nb_victoires,nb_nuls,nb_defaites,nb_buts_pour,nb_buts_contre,nb_buts_diff,serie_resultats,position.dedup,serie_resultats.un,nom_club_actuel,initiales_nom_club_actuel,logo_png
2015-2016,3,Montpellier Hérault SC,19,0,3,0,0,3,0,4,-4,PpP,19,P,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2015-2016,3,EA Guingamp,20,0,3,0,0,3,0,5,-5,pPp,20,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2014-2015,3,FC Girondins de Bordeaux,1,9,3,3,0,0,8,2,6,gGg,1,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2014-2015,3,AS Saint-Etienne,2,7,3,2,1,0,5,1,4,gGN,2,N,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2014-2015,3,Lille OSC,3,7,3,2,1,0,3,0,3,NgG,3,G,Lille OSC,LOSC,./logos_clubs/LOSC.png
2014-2015,3,SM Caen,4,6,3,2,0,1,5,1,4,gPg,4,G,SM Caen,SMC,./logos_clubs/SMC.png
2014-2015,3,Montpellier Hérault SC,5,6,3,2,0,1,4,1,3,PgG,5,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2014-2015,3,Paris Saint-Germain FC,6,5,3,1,2,0,4,2,2,nGn,6,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2014-2015,3,Stade Rennais FC,7,4,3,1,1,1,6,4,2,pGn,7,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2014-2015,3,FC Nantes,8,4,3,1,1,1,2,2,0,GnP,8,P,FC Nantes,FCN,./logos_clubs/FCN.png
2014-2015,3,SC Bastia,9,4,3,1,1,1,4,5,-1,NpG,9,G,SC Bastia,SCB,./logos_clubs/SCB.png
2014-2015,3,Olympique de Marseille,-,4,3,1,1,1,4,5,-1,nPg,9,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2014-2015,3,OGC Nice,-,4,3,1,1,1,4,5,-1,GnP,9,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2014-2015,3,FC Lorient,12,4,3,1,1,1,2,3,-1,gNp,12,P,FC Lorient,FCL,./logos_clubs/FCL.png
2014-2015,3,Olympique Lyonnais,13,3,3,1,0,2,3,3,0,GpP,13,P,Olympique Lyonnais,OL,./logos_clubs/OL.png
2014-2015,3,Toulouse FC,14,3,3,1,0,2,4,5,-1,pGp,14,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2014-2015,3,RC Lens,15,3,3,1,0,2,1,2,-1,pPg,15,G,RC Lens,RCL,./logos_clubs/RCL.png
2014-2015,3,EA Guingamp,16,3,3,1,0,2,1,3,-2,PgP,16,P,EA Guingamp,EAG,./logos_clubs/EAG.png
2014-2015,3,AS Monaco FC,17,3,3,1,0,2,3,6,-3,Ppg,17,G,AS Monaco,ASM,./logos_clubs/ASM.png
2014-2015,3,FC Metz,18,2,3,0,2,1,1,3,-2,nNp,18,P,FC Metz,FCM,./logos_clubs/FCM.png
2014-2015,3,Stade de Reims,19,1,3,0,1,2,3,7,-4,NpP,19,P,Stade de Reims,SR,./logos_clubs/SR.png
2014-2015,3,Évian Thonon Gaillard FC ,20,1,3,0,1,2,2,9,-7,PpN,20,N,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2013-2014,3,Olympique de Marseille,1,9,3,3,0,0,6,1,5,gGg,1,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2013-2014,3,Olympique Lyonnais,2,6,3,2,0,1,7,2,5,GgP,2,P,Olympique Lyonnais,OL,./logos_clubs/OL.png
2013-2014,3,Stade Rennais FC,3,6,3,2,0,1,5,4,1,Gpg,3,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2013-2014,3,Stade de Reims,4,6,3,2,0,1,4,3,1,pGg,4,G,Stade de Reims,SR,./logos_clubs/SR.png
2013-2014,3,Lille OSC,5,6,3,2,0,1,3,2,1,GpG,5,G,Lille OSC,LOSC,./logos_clubs/LOSC.png
2013-2014,3,SC Bastia,6,6,3,2,0,1,2,1,1,gGp,6,P,SC Bastia,SCB,./logos_clubs/SCB.png
2013-2014,3,AS Saint-Etienne,-,6,3,2,0,1,2,1,1,gGp,6,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2013-2014,3,AS Monaco FC,8,5,3,2,1,0,6,1,5,gGN,8,N,AS Monaco,ASM,./logos_clubs/ASM.png
2013-2014,3,Paris Saint-Germain FC,9,5,3,1,2,0,4,3,1,nNg,9,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2013-2014,3,FC Girondins de Bordeaux,10,4,3,1,1,1,2,3,-1,PnG,10,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2013-2014,3,Montpellier Hérault SC,11,4,3,1,1,1,4,6,-2,NpG,11,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2013-2014,3,OGC Nice,12,4,3,1,1,1,2,5,-3,pGn,12,N,OGC Nice,OGCN,./logos_clubs/OGCN.png
2013-2014,3,Valenciennes FC,13,3,3,1,0,2,3,3,0,GpP,13,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2013-2014,3,EA Guingamp,14,3,3,1,0,2,3,4,-1,PpG,14,G,EA Guingamp,EAG,./logos_clubs/EAG.png
2013-2014,3,FC Lorient,15,3,3,1,0,2,2,4,-2,pGp,15,P,FC Lorient,FCL,./logos_clubs/FCL.png
2013-2014,3,AC Ajaccio,16,2,3,0,2,1,1,2,-1,PnN,16,N,AC Ajaccio,ACA,./logos_clubs/ACA.png
2013-2014,3,Toulouse FC,17,2,3,0,2,1,1,4,-3,pNn,17,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2013-2014,3,FC Sochaux-Montbéliard,18,1,3,0,1,2,3,6,-3,nPp,18,P,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2013-2014,3,Évian Thonon Gaillard FC,19,1,3,0,1,2,2,5,-3,NpP,19,P,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2013-2014,3,FC Nantes,20,0,3,0,0,3,2,4,-2,PpP,20,P,FC Nantes,FCN,./logos_clubs/FCN.png
2012-2013,3,Olympique de Marseille,1,9,3,3,0,0,4,0,4,gGg,1,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2012-2013,3,Olympique Lyonnais,2,7,3,2,1,0,6,2,4,gGn,2,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2012-2013,3,Valenciennes FC,3,7,3,2,1,0,4,0,4,gNG,3,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2012-2013,3,FC Girondins de Bordeaux,4,7,3,2,1,0,4,2,2,gGn,4,N,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2012-2013,3,Toulouse FC,-,7,3,2,1,0,4,2,2,nGg,4,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2012-2013,3,SC Bastia,6,6,3,2,0,1,7,6,1,gGp,6,P,SC Bastia,SCB,./logos_clubs/SCB.png
2012-2013,3,FC Lorient,7,5,3,1,2,0,6,5,1,nGn,7,N,FC Lorient,FCL,./logos_clubs/FCL.png
2012-2013,3,Lille OSC,8,5,3,1,2,0,5,4,1,gNn,8,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2012-2013,3,AS Nancy Lorraine,9,4,3,1,1,1,2,2,0,GnP,9,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2012-2013,3,AS Saint-Etienne,10,3,3,1,0,2,6,4,2,PpG,10,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2012-2013,3,Paris Saint-Germain FC,11,3,3,0,3,0,2,2,0,NnN,11,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2012-2013,3,Stade Rennais FC,12,3,3,1,0,2,3,4,-1,PpG,12,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2012-2013,3,Stade de Reims,13,3,3,1,0,2,2,3,-1,PpG,13,G,Stade de Reims,SR,./logos_clubs/SR.png
2012-2013,3,Stade Brestois 29,14,3,3,1,0,2,1,5,-4,pGp,14,P,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2012-2013,3,OGC Nice,15,2,3,0,2,1,2,3,-1,PnN,15,N,OGC Nice,OGCN,./logos_clubs/OGCN.png
2012-2013,3,AC Ajaccio,16,2,3,1,1,1,1,3,-2,gNp,16,P,AC Ajaccio,ACA,./logos_clubs/ACA.png
2012-2013,3,Évian Thonon Gaillard FC,17,1,3,0,1,2,3,5,-2,PpN,17,N,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2012-2013,3,Montpellier Hérault SC,18,1,3,0,1,2,2,4,-2,NpP,18,P,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2012-2013,3,ESTAC Troyes,19,1,3,0,1,2,3,7,-4,PpN,19,N,ESTAC Troyes,ESTAC,./logos_clubs/ESTAC.png
2012-2013,3,FC Sochaux-Montbéliard,20,0,3,0,0,3,2,6,-4,Ppp,20,P,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2011-2012,3,Montpellier Hérault SC,1,9,3,3,0,0,8,1,7,GgG,1,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2011-2012,3,Toulouse FC,2,7,3,2,1,0,5,1,4,gGn,2,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2011-2012,3,AS Saint-Etienne,3,7,3,2,1,0,3,1,2,gGn,3,N,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2011-2012,3,SM Caen,4,6,3,2,0,1,4,3,1,GgP,4,P,SM Caen,SMC,./logos_clubs/SMC.png
2011-2012,3,Olympique Lyonnais,5,5,3,1,2,0,5,3,2,gNn,5,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2011-2012,3,Évian Thonon Gaillard FC,6,5,3,1,2,0,4,3,1,nGn,6,N,Évian Thonon Gaillard FC,ETGFC,./logos_clubs/ETGFC.png
2011-2012,3,Stade Rennais FC,7,4,3,1,1,1,6,6,0,gNp,7,P,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2011-2012,3,FC Sochaux-Montbéliard,8,4,3,1,1,1,5,5,0,nPg,8,G,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2011-2012,3,Lille OSC,9,4,3,1,1,1,3,3,0,nPg,9,G,Lille OSC,LOSC,./logos_clubs/LOSC.png
2011-2012,3,Paris Saint-Germain FC,-,4,3,1,1,1,3,3,0,PnG,9,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2011-2012,3,FC Lorient,11,4,3,1,1,1,2,3,-1,gNp,11,P,FC Lorient,FCL,./logos_clubs/FCL.png
2011-2012,3,Olympique de Marseille,12,3,3,0,3,0,4,4,0,NnN,12,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2011-2012,3,Stade Brestois 29,13,3,3,0,3,0,3,3,0,NnN,13,N,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2011-2012,3,Dijon FCO,14,3,3,1,0,2,3,7,-4,PpG,14,G,Dijon FCO,DFCO,./logos_clubs/DFCO.png
2011-2012,3,FC Girondins de Bordeaux,15,2,3,0,2,1,3,4,-1,PnN,15,N,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2011-2012,3,AJ Auxerre,16,2,3,0,2,1,4,6,-2,pNn,16,N,AJ Auxerre,AJA,./logos_clubs/AJA.png
2011-2012,3,AC Ajaccio,17,2,3,0,2,1,2,4,-2,PnN,17,N,AC Ajaccio,ACA,./logos_clubs/ACA.png
2011-2012,3,AS Nancy Lorraine,18,1,3,0,1,2,2,4,-2,NpP,18,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2011-2012,3,Valenciennes FC,19,1,3,0,1,2,1,3,-2,pNp,19,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2011-2012,3,OGC Nice,20,1,3,0,1,2,2,5,-3,PpN,20,N,OGC Nice,OGCN,./logos_clubs/OGCN.png
2010-2011,3,Toulouse FC,1,9,3,3,0,0,6,2,4,GgG,1,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2010-2011,3,SM Caen,2,7,3,2,1,0,5,3,2,gGn,2,N,SM Caen,SMC,./logos_clubs/SMC.png
2010-2011,3,Stade Rennais FC,3,5,3,1,2,0,4,1,3,NgN,3,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2010-2011,3,Valenciennes FC,4,5,3,1,2,0,4,3,1,nGn,4,N,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2010-2011,3,OGC Nice,5,5,3,1,2,0,3,2,1,NgN,5,N,OGC Nice,OGCN,./logos_clubs/OGCN.png
2010-2011,3,Montpellier Hérault SC,6,5,3,1,2,0,1,0,1,GnN,6,N,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2010-2011,3,Paris Saint-Germain FC,7,4,3,1,1,1,4,3,1,GnP,7,P,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2010-2011,3,RC Lens,8,4,3,1,1,1,4,4,0,PgN,8,N,RC Lens,RCL,./logos_clubs/RCL.png
2010-2011,3,FC Sochaux-Montbéliard,-,4,3,1,1,1,4,4,0,GpN,8,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2010-2011,3,Olympique Lyonnais,10,4,3,1,1,1,3,3,0,NpG,10,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2010-2011,3,AS Saint-Etienne,11,4,3,1,1,1,4,5,-1,pGn,11,N,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2010-2011,3,AS Nancy Lorraine,12,4,3,1,1,1,3,5,-2,gPn,12,N,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2010-2011,3,Olympique de Marseille,13,3,3,1,0,2,5,5,0,PpG,13,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2010-2011,3,AJ Auxerre,14,3,3,0,3,0,4,4,0,NnN,14,N,AJ Auxerre,AJA,./logos_clubs/AJA.png
2010-2011,3,AS Monaco FC,15,3,3,0,3,0,2,2,0,nNn,15,N,AS Monaco,ASM,./logos_clubs/ASM.png
2010-2011,3,Lille OSC,16,3,3,0,3,0,1,1,0,nNn,16,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2010-2011,3,FC Girondins de Bordeaux,17,3,3,1,0,2,3,4,-1,pPg,17,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2010-2011,3,FC Lorient,18,1,3,0,1,2,3,6,-3,nPp,18,P,FC Lorient,FCL,./logos_clubs/FCL.png
2010-2011,3,Stade Brestois 29,19,1,3,0,1,2,1,4,-3,pNp,19,P,Stade Brestois 29,SB29,./logos_clubs/SB29.png
2010-2011,3,AC Arles Avignon,20,0,3,0,0,3,2,5,-3,pPp,20,P,AC Arles Avignon,ACAA,./logos_clubs/ACAA.png
2009-2010,3,FC Girondins de Bordeaux,1,9,3,3,0,0,11,3,8,GgG,1,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2009-2010,3,Olympique Lyonnais,2,7,3,2,1,0,6,2,4,nGg,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2009-2010,3,Paris Saint-Germain FC,3,7,3,2,1,0,7,4,3,nGg,3,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2009-2010,3,Olympique de Marseille,4,7,3,2,1,0,4,1,3,gGn,4,N,Olympique de Marseille,OM,./logos_clubs/OM.png
2009-2010,3,AS Nancy Lorraine,5,6,3,2,0,1,8,3,5,gGp,5,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2009-2010,3,RC Lens,6,6,3,2,0,1,5,5,0,pGg,6,G,RC Lens,RCL,./logos_clubs/RCL.png
2009-2010,3,US Boulogne CO,7,6,3,2,0,1,3,4,-1,pGg,7,G,US Boulogne CO,USB,./logos_clubs/USB.png
2009-2010,3,AS Monaco FC,-,6,3,2,0,1,3,4,-1,GpG,7,G,AS Monaco,ASM,./logos_clubs/ASM.png
2009-2010,3,Stade Rennais FC,9,5,3,1,2,0,5,2,3,GnN,9,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2009-2010,3,Montpellier Hérault SC,10,5,3,1,2,0,5,3,2,NnG,10,G,Montpellier Hérault SC,MHSC,./logos_clubs/MHSC.png
2009-2010,3,Toulouse FC,11,4,3,1,1,1,4,3,1,pGn,11,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2009-2010,3,Le Mans UC 72,12,4,3,1,1,1,5,6,-1,NpG,12,G,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2009-2010,3,FC Lorient,13,4,3,1,1,1,4,5,-1,gNp,13,P,FC Lorient,FCL,./logos_clubs/FCL.png
2009-2010,3,OGC Nice,14,4,3,1,1,1,3,5,-2,gNp,14,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2009-2010,3,FC Sochaux-Montbéliard,15,3,3,1,0,2,3,5,-2,gPp,15,P,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2009-2010,3,Lille OSC,16,1,3,0,1,2,2,4,-2,PpN,16,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2009-2010,3,Valenciennes FC,17,0,3,0,0,3,3,7,-4,PpP,17,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2009-2010,3,Grenoble Foot 38,18,0,3,0,0,3,2,6,-4,PpP,18,P,Grenoble Foot 38,GF38,./logos_clubs/GF38.png
2009-2010,3,AS Saint-Etienne,19,0,3,0,0,3,1,6,-5,PpP,19,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2009-2010,3,AJ Auxerre,20,0,3,0,0,3,0,6,-6,PpP,20,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2008-2009,3,Olympique de Marseille,1,7,3,2,1,0,9,4,5,nGg,1,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2008-2009,3,Olympique Lyonnais,2,7,3,2,1,0,5,0,5,GnG,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2008-2009,3,FC Girondins de Bordeaux,3,6,3,2,0,1,4,2,2,GpG,3,G,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2008-2009,3,Le Mans UC 72,-,6,3,2,0,1,4,2,2,PgG,3,G,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2008-2009,3,Valenciennes FC,5,6,3,2,0,1,5,4,1,GpG,5,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2008-2009,3,OGC Nice,6,6,3,2,0,1,3,2,1,pGg,6,G,OGC Nice,OGCN,./logos_clubs/OGCN.png
2008-2009,3,Grenoble Foot 38,7,6,3,2,0,1,3,3,0,gGp,7,P,Grenoble Foot 38,GF38,./logos_clubs/GF38.png
2008-2009,3,AS Monaco FC,8,5,3,1,2,0,3,2,1,GnN,8,N,AS Monaco,ASM,./logos_clubs/ASM.png
2008-2009,3,SM Caen,9,4,3,1,1,1,5,4,1,pGn,9,N,SM Caen,SMC,./logos_clubs/SMC.png
2008-2009,3,Stade Rennais FC,10,4,3,1,1,1,6,6,0,NpG,10,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2008-2009,3,Paris Saint-Germain FC,11,4,3,1,1,1,2,2,0,pGn,11,N,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2008-2009,3,FC Lorient,12,4,3,1,1,1,2,3,-1,gNp,12,P,FC Lorient,FCL,./logos_clubs/FCL.png
2008-2009,3,Toulouse FC,13,4,3,1,1,1,2,4,-2,pGn,13,N,Toulouse FC,TFC,./logos_clubs/TFC.png
2008-2009,3,Havre AC,14,3,3,1,0,2,2,3,-1,GpP,14,P,Havre AC,HAC,./logos_clubs/HAC.png
2008-2009,3,AS Saint-Etienne,-,3,3,1,0,2,2,3,-1,pGp,14,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2008-2009,3,AJ Auxerre,16,3,3,1,0,2,2,6,-4,GpP,16,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2008-2009,3,AS Nancy Lorraine,17,2,3,0,2,1,1,2,-1,NpN,17,N,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2008-2009,3,FC Sochaux-Montbéliard,18,1,3,0,1,2,3,5,-2,PpN,18,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2008-2009,3,Lille OSC,19,1,3,0,1,2,2,5,-3,nPp,19,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2008-2009,3,FC Nantes,-,1,3,0,1,2,2,5,-3,pNp,19,P,FC Nantes,FCN,./logos_clubs/FCN.png
2007-2008,3,Le Mans UC 72,1,9,3,3,0,0,6,2,4,Ggg,1,G,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2007-2008,3,AS Nancy Lorraine,2,9,3,3,0,0,5,1,4,gGG,2,G,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2007-2008,3,FC Lorient,3,7,3,2,1,0,5,2,3,nGg,3,G,FC Lorient,FCL,./logos_clubs/FCL.png
2007-2008,3,Olympique Lyonnais,4,6,3,2,0,1,5,1,4,GpG,4,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2007-2008,3,FC Girondins de Bordeaux,5,6,3,2,0,1,4,2,2,GgP,5,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2007-2008,3,Valenciennes FC,6,6,3,2,0,1,6,5,1,GpG,6,G,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2007-2008,3,SM Caen,7,6,3,2,0,1,3,2,1,GpG,7,G,SM Caen,SMC,./logos_clubs/SMC.png
2007-2008,3,Lille OSC,8,5,3,1,2,0,3,2,1,NgN,8,N,Lille OSC,LOSC,./logos_clubs/LOSC.png
2007-2008,3,RC Strasbourg,9,4,3,1,1,1,3,1,2,NpG,9,G,RC Strasbourg Alsace,RCS,./logos_clubs/RCS.png
2007-2008,3,AS Monaco FC,10,4,3,1,1,1,4,3,1,NpG,10,G,AS Monaco,ASM,./logos_clubs/ASM.png
2007-2008,3,AS Saint-Etienne,-,4,3,1,1,1,4,3,1,nGp,10,P,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2007-2008,3,Stade Rennais FC,12,4,3,1,1,1,1,2,-1,PnG,12,G,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2007-2008,3,OGC Nice,13,3,3,1,0,2,2,3,-1,pGp,13,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2007-2008,3,Toulouse FC,14,3,3,1,0,2,3,5,-2,pGp,14,P,Toulouse FC,TFC,./logos_clubs/TFC.png
2007-2008,3,Olympique de Marseille,15,2,3,0,2,1,1,2,-1,nNp,15,P,Olympique de Marseille,OM,./logos_clubs/OM.png
2007-2008,3,FC Sochaux-Montbéliard,16,2,3,0,2,1,2,4,-2,nPn,16,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2007-2008,3,Paris Saint-Germain FC,17,2,3,0,2,1,1,3,-2,NnP,17,P,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2007-2008,3,RC Lens,18,1,3,0,1,2,0,4,-4,pNp,18,P,RC Lens,RCL,./logos_clubs/RCL.png
2007-2008,3,FC Metz,19,0,3,0,0,3,1,5,-4,pPp,19,P,FC Metz,FCM,./logos_clubs/FCM.png
2007-2008,3,AJ Auxerre,20,0,3,0,0,3,0,7,-7,pPp,20,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2006-2007,3,Olympique de Marseille,1,7,3,2,1,0,5,0,5,nGg,1,G,Olympique de Marseille,OM,./logos_clubs/OM.png
2006-2007,3,Olympique Lyonnais,2,7,3,2,1,0,6,3,3,gNg,2,G,Olympique Lyonnais,OL,./logos_clubs/OL.png
2006-2007,3,Le Mans UC 72,3,7,3,2,1,0,6,4,2,GnG,3,G,Le Mans UC 72,MUC72,./logos_clubs/MUC72.png
2006-2007,3,Lille OSC,4,6,3,2,0,1,6,2,4,gGp,4,P,Lille OSC,LOSC,./logos_clubs/LOSC.png
2006-2007,3,FC Girondins de Bordeaux,5,6,3,2,0,1,4,2,2,GgP,5,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2006-2007,3,AS Nancy Lorraine,-,6,3,2,0,1,4,2,2,GGp,5,P,AS Nancy Lorraine,ASNL,./logos_clubs/ASNL.png
2006-2007,3,AS Saint-Etienne,7,6,3,2,0,1,4,3,1,PgG,7,G,AS Saint-Etienne,ASSE,./logos_clubs/ASSE.png
2006-2007,3,FC Sochaux-Montbéliard,8,5,3,1,2,0,4,3,1,gNn,8,N,FC Sochaux-Montbéliard,FCSM,./logos_clubs/FCSM.png
2006-2007,3,FC Lorient,9,4,3,1,1,1,4,4,0,gPn,9,N,FC Lorient,FCL,./logos_clubs/FCL.png
2006-2007,3,Paris Saint-Germain FC,10,4,3,1,1,1,3,3,0,PnG,10,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2006-2007,3,Toulouse FC,11,4,3,1,1,1,2,3,-1,pnG,11,G,Toulouse FC,TFC,./logos_clubs/TFC.png
2006-2007,3,RC Lens,12,4,3,1,1,1,2,5,-3,GpN,12,N,RC Lens,RCL,./logos_clubs/RCL.png
2006-2007,3,ESTAC Troyes,13,2,3,0,2,1,3,4,-1,pNn,13,N,ESTAC Troyes,ESTAC,./logos_clubs/ESTAC.png
2006-2007,3,Valenciennes FC,-,2,3,0,2,1,3,4,-1,nNp,13,P,Valenciennes FC,VAFC,./logos_clubs/VAFC.png
2006-2007,3,FC Nantes Atlantique,15,2,3,0,2,1,3,5,-2,PnN,15,N,FC Nantes,FCN,./logos_clubs/FCN.png
2006-2007,3,CS Sedan,16,2,3,0,2,1,2,4,-2,NpN,16,N,CS Sedan,CSSA,./logos_clubs/CSSA.png
2006-2007,3,AJ Auxerre,17,2,3,0,2,1,2,5,-3,NnP,17,P,AJ Auxerre,AJA,./logos_clubs/AJA.png
2006-2007,3,AS Monaco FC,18,1,3,0,1,2,2,4,-2,pPn,18,N,AS Monaco,ASM,./logos_clubs/ASM.png
2006-2007,3,OGC Nice,19,1,3,0,1,2,1,3,-2,pNp,19,P,OGC Nice,OGCN,./logos_clubs/OGCN.png
2006-2007,3,Stade Rennais FC,20,1,3,0,1,2,2,5,-3,PpN,20,N,Stade Rennais FC,SRFC,./logos_clubs/SRFC.png
2005-2006,3,Paris Saint-Germain FC,1,9,3,3,0,0,7,1,6,GgG,1,G,Paris Saint-Germain FC,PSG,./logos_clubs/PSG.png
2005-2006,3,AJ Auxerre,2,7,3,2,1,0,3,0,3,ngG,2,G,AJ Auxerre,AJA,./logos_clubs/AJA.png
2005-2006,3,Olympique Lyonnais,3,7,3,2,1,0,4,2,2,gGn,3,N,Olympique Lyonnais,OL,./logos_clubs/OL.png
2005-2006,3,FC Nantes Atlantique,4,6,3,2,0,1,5,2,3,GgP,4,P,FC Nantes,FCN,./logos_clubs/FCN.png
2005-2006,3,FC Girondins de Bordeaux,5,6,3,2,0,1,3,1,2,gGp,5,P,FC Girondins de Bordeaux,FCGB,./logos_clubs/FCGB.png
2005-2006,3,RC Lens,6,6,3,2,0,1,4,3,1,pGg,6,G,RC Lens,RCL,./logos_clubs/RCL.png
2005-2006,3,AS Monaco FC,7,6,3,2,0,1,3,3,0,gPg,7,G,AS Monaco,ASM,./logos_clubs/ASM.png
2005-2006,3,AC Ajaccio,8,5,3,1,2,0,5,3,2,nNg,8,G,AC Ajaccio,ACA,./logos_clubs/ACA.png
